                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.6388,                 1.9544,                 1.9889,                0.53769,                0.42201,                0.43405,                  0.189,                 1.9668,                  2.303,                 2.4892,             0.00099837,             0.00099837,             0.00099837
                    124,                 1.5499,                 1.8323,                 1.9289,                0.58067,                0.44867,                0.48459,                0.21058,                 1.9894,                 2.1426,                 2.5298,             0.00099631,             0.00099631,             0.00099631
                    125,                 1.6077,                 1.8687,                 1.9802,                0.48661,                0.38553,                0.42222,                0.17401,                 1.9716,                 2.3532,                 2.4842,             0.00099425,             0.00099425,             0.00099425
                    126,                 1.6016,                 1.8647,                 1.9535,                0.44154,                0.47625,                0.43415,                0.17446,                  2.017,                 2.1483,                 2.5014,             0.00099219,             0.00099219,             0.00099219
                    127,                 1.5935,                 1.8942,                 1.9431,                0.48679,                0.56186,                0.47776,                0.20146,                 1.9012,                 2.2449,                 2.3663,             0.00099013,             0.00099013,             0.00099013
                    128,                  1.547,                 1.8838,                 1.9347,                0.57115,                0.48895,                0.49861,                 0.2174,                 1.9242,                 2.1178,                  2.438,             0.00098806,             0.00098806,             0.00098806
                    129,                 1.6193,                 1.8599,                 1.9708,                0.59372,                0.43784,                0.46679,                 0.2015,                 1.9767,                 2.2617,                 2.4798,               0.000986,               0.000986,               0.000986
                    130,                  1.584,                 1.8507,                 1.9737,                0.49493,                0.49682,                0.48039,                0.21865,                 1.8701,                 2.0866,                 2.3849,             0.00098394,             0.00098394,             0.00098394
                    131,                 1.5563,                 1.7727,                 1.9005,                0.54673,                0.44405,                0.44434,                0.20375,                 1.9507,                 2.2605,                 2.4249,             0.00098187,             0.00098187,             0.00098187
                    132,                 1.5846,                 1.8048,                 1.9378,                0.54765,                0.46129,                 0.4775,                0.21847,                 1.9633,                 2.0692,                 2.4418,             0.00097981,             0.00097981,             0.00097981
                    133,                 1.5493,                 1.7936,                 1.9273,                0.58802,                0.52162,                0.53962,                0.24884,                 1.8761,                 1.9753,                 2.3632,             0.00097775,             0.00097775,             0.00097775
                    134,                 1.5768,                 1.7642,                 1.9488,                0.54422,                0.51313,                 0.4583,                0.19835,                 1.9348,                 2.2446,                 2.4612,             0.00097569,             0.00097569,             0.00097569
                    135,                 1.5418,                 1.7573,                 1.9252,                 0.5063,                0.49496,                0.43772,                 0.1817,                 1.9984,                 2.3044,                 2.5347,             0.00097362,             0.00097362,             0.00097362
                    136,                 1.5726,                 1.7571,                 1.9255,                0.49043,                0.53104,                0.46631,                0.21243,                 1.8983,                 2.0858,                 2.4011,             0.00097156,             0.00097156,             0.00097156
                    137,                  1.515,                 1.7683,                 1.8804,                0.52064,                0.54618,                0.50503,                0.21917,                 1.9185,                 2.1058,                 2.3864,              0.0009695,              0.0009695,              0.0009695
                    138,                 1.5561,                 1.8196,                 1.9204,                0.51496,                0.47397,                0.44118,                0.18958,                   1.97,                 2.3531,                 2.4978,             0.00096744,             0.00096744,             0.00096744
                    139,                 1.5982,                  1.896,                   1.96,                0.47201,                0.49061,                0.46365,                0.21634,                 1.8471,                 2.0897,                 2.3572,             0.00096537,             0.00096537,             0.00096537
                    140,                 1.5053,                  1.821,                 1.8964,                0.62727,                0.44236,                0.48941,                0.22275,                 1.9408,                 2.2131,                 2.4017,             0.00096331,             0.00096331,             0.00096331
                    141,                 1.5673,                 1.7803,                 1.9223,                0.61127,                0.46683,                0.50807,                0.21436,                 1.8966,                 2.0819,                   2.37,             0.00096125,             0.00096125,             0.00096125
                    142,                  1.542,                 1.7905,                 1.9278,                0.55412,                0.46109,                0.47954,                0.21487,                 1.8851,                 2.1444,                 2.3702,             0.00095919,             0.00095919,             0.00095919
